F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0     345       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_10
1 I     0     346       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     347       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_11
1 I     0     348       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     349       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_12
1 I     0     350       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     351       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_13
1 I     0     352       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     362       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_14
1 I     0     363       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     369       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_15
1 I     0     370       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_
1 S     0     371       2  0  80   0 -     0 -      ?        00:00:16 usb-storage
1 I     0     372       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-uas
1 S     0     411       2  0  80   0 -     0 -      ?        00:00:22 jbd2/sda2-8
1 I     0     412       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ext4-
1 I     0     605       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ipmi-
1 I     0     610       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ib-co
1 I     0     611       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ib-co
1 I     0     612       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ib_mc
1 I     0     613       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ib_nl
1 S     0     635       2  0  99  19 -     0 -      ?        00:00:00 kipmi0
1 I     0     641       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-crypt
1 I     0     821       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-nfit
1 I     0     867       2  0  60 -20 -     0 -      ?        00:00:00 kworker/u35:1
5 S     0     999       1  0  76  -4 -  2836 -      ?        00:00:14 auditd
4 S     0    1066       1  0  80   0 - 79779 -      ?        00:02:16 accounts-daemon
4 S   114    1069       1  0  80   0 -  2176 -      ?        00:00:49 avahi-daemon
4 S     0    1070       1  0  80   0 -  2686 -      ?        00:00:01 cron
4 S   102    1071       1  0  80   0 -  7448 -      ?        00:01:30 dbus-daemon
4 S   995    1074       1  0  80   0 - 91338 -      ?        00:00:03 gnome-remote-de
4 S     0    1078       1  0  80   0 -  9049 -      ?        00:00:00 networkd-dispat
4 S   998    1079       1  0  80   0 - 79697 -      ?        00:02:19 polkitd
4 S     0    1080       1  0  80   0 - 78703 -      ?        00:00:03 power-profiles-
4 S     0    1089       1  0  80   0 - 77760 -      ?        00:00:00 switcheroo-cont
4 S     0    1090       1  0  80   0 -  4921 -      ?        00:00:28 systemd-logind
4 S     0    1092       1  0  80   0 - 117323 -     ?        00:00:12 udisksd
1 S   114    1153    1069  0  80   0 -  2106 -      ?        00:00:00 avahi-daemon
4 S     0    1190       1  0  80   0 -  4346 -      ?        00:00:01 wpa_supplicant
4 S     0    1218       1  0  80   0 - 98023 -      ?        00:00:04 ModemManager
4 S     0    1424       1  0  80   0 - 28394 -      ?        00:00:00 unattended-upgr
4 S     0    1439       1  0  80   0 - 79000 -      ?        00:00:01 gdm3
4 S     0    1445    1439  0  80   0 - 60820 -      ?        00:00:00 gdm-session-wor
4 S   128    1453       1  0  80   0 -  5385 -      ?        00:00:12 systemd
5 S   128    1455    1453  0  80   0 -  5351 -      ?        00:00:00 (sd-pam)
0 S   128    1467    1453  0  69 -11 - 28530 -      ?        00:00:00 pipewire
0 S   128    1468    1453  0  80   0 - 24764 -      ?        00:00:00 pipewire
0 S   128    1470    1453  0  69 -11 - 101568 -     ?        00:00:01 wireplumber
0 S   128    1471    1453  0  69 -11 - 27781 -      ?        00:00:00 pipewire-pulse
4 S   128    1472    1445  0  80   0 - 59247 -      tty1     00:00:00 gdm-wayland-ses
0 S   128    1488    1453  0  80   0 -  2423 -      ?        00:00:00 dbus-daemon
4 S     0    1510       1  0  80   0 -  2105 -      ?        00:00:20 inetd
1 S   113    1513       1  0  80   0 -  3186 -      ?        00:00:00 kerneloops
1 S   113    1519       1  0  80   0 -  3186 -      ?        00:00:00 kerneloops
0 S   128    1541    1472  0  80   0 -  1625 -      tty1     00:00:00 dbus-run-sessio
0 S   128    1542    1453  0  80   0 - 134470 -     ?        00:00:00 xdg-document-po
4 S   116    1543       1  0  81   1 -  5735 -      ?        00:00:08 rtkit-daemon
0 S   128    1547    1453  0  80   0 - 77657 -      ?        00:00:00 xdg-permission-
4 S     0    1558    1542  0  80   0 -   676 -      ?        00:00:00 fusermount3
0 S   128    1562    1541  0  80   0 -  2474 -      tty1     00:00:00 dbus-daemon
0 S   128    1566    1541  0  80   0 - 130560 -     tty1     00:00:02 gnome-session-b
0 R   128    1719    1566  0  80   0 - 1642708 -    tty1     00:34:32 gnome-shell
5 S     0    1946       1  0  80   0 - 10714 -      ?        00:00:01 master
4 S   131    1948    1946  0  80   0 - 10837 -      ?        00:00:00 qmgr
4 S   123    1969       1  0  80   0 - 80344 -      ?        00:00:00 colord
4 S     0    1982       1  0  80   0 -  3006 -      ?        00:00:30 sshd
0 S   128    2028       1  0  80   0 - 95802 -      tty1     00:00:00 at-spi-bus-laun
0 S   128    2034    2028  0  80   0 -  2356 -      tty1     00:00:00 dbus-daemon
0 S   128    2035    1719  0  80   0 - 61168 -      tty1     00:00:00 Xwayland
0 S   128    2040       1  0  80   0 - 59017 -      tty1     00:00:00 at-spi2-registr
0 S   128    2062       1  0  80   0 - 77657 -      tty1     00:00:00 xdg-permission-
0 S   128    2069       1  0  80   0 - 649618 -     tty1     00:00:00 gjs
4 S     0    2087       1  0  80   0 - 79435 -      ?        00:00:01 upowerd
0 S   128    2090    1566  0  80   0 - 136195 -     tty1     00:00:00 gsd-sharing
0 S   128    2093    1566  0  80   0 - 103443 -     tty1     00:00:00 gsd-wacom
0 S   128    2096    1566  0  80   0 - 103615 -     tty1     00:00:01 gsd-color
0 S   128    2098    1566  0  80   0 - 103208 -     tty1     00:00:00 gsd-keyboard
0 S   128    2102    1566  0  80   0 - 81299 -      tty1     00:00:00 gsd-print-notif
